Date;Arabica;Robusta
1960M01;94.09;69.69
1960M02;94.69;68.87
1960M03;92.81;68.87
1960M04;93.03;68.45
1960M05;92.00;69.07
1960M06;91.23;69.69
1960M07;91.60;69.07
1960M08;92.92;69.88
1960M09;92.26;70.28
1960M10;92.37;70.68
1960M11;91.16;70.90
1960M12;90.06;69.69
1961M01;91.45;67.66
1961M02;91.67;67.66
1961M03;91.05;66.84
1961M04;90.17;66.45
1961M05;89.29;66.23
1961M06;88.91;66.64
1961M07;89.29;66.84
1961M08;89.35;66.84
1961M09;88.91;67.24
1961M10;88.52;67.24
1961M11;88.30;67.04
1961M12;87.74;66.64
1962M01;87.74;66.84
1962M02;87.70;66.84
1962M03;86.09;67.04
1962M04;84.66;67.44
1962M05;82.56;67.24
1962M06;80.47;67.24
1962M07;81.31;67.66
1962M08;81.90;68.45
1962M09;82.56;69.47
1962M10;81.09;69.47
1962M11;81.24;69.27
1962M12;81.79;71.69
1963M01;82.67;65.21
1963M02;80.31;61.38
1963M03;81.09;61.57
1963M04;80.80;61.57
1963M05;79.70;61.18
1963M06;79.92;61.18
1963M07;80.64;61.57
1963M08;80.47;61.18
1963M09;80.20;62.39
1963M10;80.42;62.59
1963M11;80.69;63.18
1963M12;79.98;65.21
1964M01;92.59;70.08
1964M02;94.14;72.11
1964M03;103.51;77.98
1964M04;100.42;81.61
1964M05;102.03;82.85
1964M06;100.53;84.66
1964M07;102.14;81.83
1964M08;104.90;81.83
1964M09;103.73;78.99
1964M10;103.79;77.38
1964M11;103.40;78.79
1964M12;100.53;76.37
1965M01;101.19;62.83
1965M02;103.84;63.71
1965M03;98.99;57.98
1965M04;97.44;54.70
1965M05;96.12;48.72
1965M06;98.11;61.31
1965M07;98.11;71.63
1965M08;100.09;79.50
1965M09;99.87;77.76
1965M10;100.97;80.73
1965M11;102.51;75.68
1965M12;103.18;79.36
1966M01;101.19;80.16
1966M02;97.22;75.77
1966M03;95.46;74.38
1966M04;95.46;76.06
1966M05;94.58;76.52
1966M06;92.37;74.10
1966M07;91.71;72.91
1966M08;91.71;71.89
1966M09;89.95;69.95
1966M10;88.85;71.71
1966M11;88.69;72.00
1966M12;87.28;71.52
1967M01;85.01;70.57
1967M02;84.41;72.86
1967M03;82.28;72.57
1967M04;85.08;74.71
1967M05;88.91;77.03
1967M06;90.92;78.24
1967M07;90.26;74.07
1967M08;87.61;71.76
1967M09;86.07;72.40
1967M10;84.72;72.95
1967M11;86.66;74.78
1967M12;85.12;75.00
1968M01;86.60;75.97
1968M02;86.91;75.66
1968M03;88.21;75.48
1968M04;88.60;75.33
1968M05;88.16;75.51
1968M06;88.80;75.66
1968M07;88.14;74.98
1968M08;86.62;74.76
1968M09;85.38;74.93
1968M10;85.45;74.01
1968M11;84.86;72.33
1968M12;82.67;70.94
1969M01;82.61;70.66
1969M02;84.19;70.81
1969M03;82.94;68.72
1969M04;81.35;65.89
1969M05;80.93;64.97
1969M06;79.50;67.72
1969M07;77.76;68.72
1969M08;81.26;72.46
1969M09;90.26;76.30
1969M10;104.01;84.50
1969M11;102.47;82.08
1969M12;104.79;82.85
1970M01;113.69;86.20
1970M02;114.53;84.74
1970M03;117.11;86.79
1970M04;120.28;91.29
1970M05;121.70;94.00
1970M06;120.61;92.99
1970M07;121.21;94.25
1970M08;118.28;94.47
1970M09;116.03;93.87
1970M10;111.97;94.16
1970M11;102.78;91.60
1970M12;97.75;91.91
1971M01;100.31;92.99
1971M02;98.33;92.97
1971M03;101.43;94.07
1971M04;98.94;94.00
1971M05;101.83;94.00
1971M06;100.22;93.41
1971M07;99.27;92.83
1971M08;100.51;92.99
