Date,BrentPrice,CPI__USA_M_FGI,D_EU_LIQUIDS,D_NA_LIQUIDS,D_NONOECD_LIQUIDS,D_OECD_LIQUIDS,D_WOR_LIQUIDS,INVCHANGE_WOR_LIQUIDS,IP__EUN_M_FGI,IP__OECD_M_FGI,IP__USA_M_FGI,IP__WOR_M_FGI,IP__XOECD_M_FGI,IP_OECD_M_FGI,IP_USA_M_FGI,IP_WOR_M_FGI,IP_XOECD_M_FGI,P_NA_CRUDE,P_NONOPEC_CRUDE,P_NONOPEC_LIQUIDS,P_OPEC_CRUDE,P_OPEC_LIQUIDS,P_WOR_CRUDE,P_WOR_LIQUIDS,POILBNT_WOR_M_FGI,RMSHORT_EUN_M_FGI,RMSHORT_OECD_M_FGI,RMSHORT_USA_M_FGI,RMSHORT_WOR_M_FGI,RMSHORT_XOECD_M_FGI,RMSPREAD_EUN_M_FGI,RMSPREAD_OECD_M_FGI,RMSPREAD_USA_M_FGI,RMSPREAD_WOR_M_FGI,RMSPREAD_XOECD_M_FGI,RU_OECD_M_FGI,RU_USA_M_FGI,RU_WOR_M_FGI,RU_XOECD_M_FGI,RU_EUN_M_FGI,RX_EUN_M_FGI,RX_OECD_M_FGI,RX_WOR_M_FGI,RX_XOECD_M_FGI
1/1/2000,25.22,2.792956891,15.74305785,21.07299129,28.10587441,48.02181102,76.37474995,-1.148483864,2.72972252,4.384431244,4.830395623,4.564540268,5.54208471,97.88906583,100.3417484,85.46019748,51.94116387,7.878168444,39.02348661,43.75400923,26.23909371,29.33188414,65.26258032,75.47333061,25.22,4.437147035,4.288397338,5.32,5.448889475,11.42874779,1.790457402,1.585383266,1.34,1.684810833,2.368625638,6.737228483,4,7.588528058,10.1486341,9.825523084,123.9080019,112.1342236,107.8062543,91.20425671
2/1/2000,27.63,3.21797207,16.76229359,21.78978597,28.47080957,49.95372399,78.36922321,-2.410709295,5.229883168,5.063940077,4.577344011,5.476160685,7.766167204,98.48311282,100.6311658,85.978842,52.25645868,7.951886772,38.85518172,43.58926881,26.81221358,29.90703327,65.66739529,75.90320357,27.63,4.653877833,4.441038106,5.55,5.580827402,11.25609013,1.548370287,1.346601411,0.97,1.439622476,2.059451995,6.76439496,4.1,7.606155283,10.13060142,9.804171927,127.5194951,114.1725534,109.4916308,91.617754
3/1/2000,27.47,3.762135922,16.57765944,21.2557036,27.89325788,48.87263747,76.76589535,-0.880077367,5.151807641,5.064345994,4.80816021,5.324125394,6.706233421,99.02178198,101.0342487,86.54432273,52.90024722,7.935282232,38.93076679,43.6464027,26.84151346,29.93836241,65.77228025,75.94346314,27.47,4.785986174,4.498547784,5.69,5.579737414,10.93645453,1.180042389,1.08158118,0.57,1.169902191,1.754787344,6.693707037,4,7.52242391,10.01063289,9.773739959,129.7525089,114.3908857,109.6689713,91.64933344
4/1/2000,22.54,3.013863773,15.60265625,20.90463825,27.54026218,46.84242611,74.38268829,2.203703881,5.591351975,6.128706589,5.302800692,6.106763872,6.002941535,99.75415554,101.7705808,86.9959635,52.58373986,7.949118733,38.76307767,43.43369418,27.46152483,30.56040304,66.2246025,76.42159217,22.54,4.896583849,4.535369859,5.66,5.605383174,10.87149077,0.935308445,0.916377215,0.33,1.004286312,1.583618609,6.226125862,3.8,7.689415598,12.06892873,9.602036185,131.6515569,114.7959498,110.0962075,92.14731554
5/1/2000,27.4,3.13253012,15.75950934,21.70221861,27.79036006,48.05896726,75.84932732,1.067810335,6.768709384,5.929875391,4.729039551,6.327631768,8.454843812,100.3580504,101.9584314,87.76912027,53.82769185,7.989118012,38.56378001,43.21036437,28.02873301,31.12964048,66.59251302,76.91716992,27.4,5.211453038,4.756311245,5.79,5.751692885,10.60607917,0.759532433,0.944119185,0.65,1.083557069,1.9937466,6.235150651,4,7.682834625,12.01705305,9.602389414,137.7506733,117.3263836,112.3200684,93.2816407
6/1/2000,29.68,3.734939759,16.06609082,22.19216535,28.09930935,48.29955676,76.39886611,0.148732192,4.802389694,5.759945446,4.995534047,6.229885566,8.711542433,100.4159252,102.0515077,87.93427138,54.28913478,7.975150388,38.72499021,43.38363819,27.5179913,30.62092802,66.24298151,76.68066497,29.68,5.298937908,4.769415924,5.69,5.760664175,10.62919224,0.488444732,0.694194601,0.41,0.844010153,1.829486415,6.210597445,4,7.672480831,12.0500884,9.535063015,132.7355367,115.4533277,110.9435634,93.64219211
7/1/2000,28.51,3.599280144,15.72671339,21.8384029,28.27413181,47.71741865,75.99155046,1.142189202,4.63522002,5.132873347,4.194069578,5.698796449,8.716040028,100.4780708,101.9104605,87.99571019,54.34914654,7.851410619,38.93357413,43.54845823,27.81589387,30.92085985,66.749468,77.23222353,28.51,5.373252392,4.893889513,5.96,5.8140351,10.26828772,0.479651246,0.552938255,0.09,0.675849468,1.471642606,6.176657499,4,7.506381513,11.48857266,9.494556548,133.8011035,116.0193734,111.4906192,94.11513598
8/1/2000,29.89,3.351286655,16.75476764,22.70307729,28.34164652,50.01515047,78.35679698,-0.994615642,5.051001536,5.323441228,3.438542496,5.916778758,9.044848844,100.8166512,101.5860202,88.40182687,54.94568552,7.86713914,38.82801592,43.37768309,28.31475739,31.42175263,67.14277331,77.5092136,29.89,5.542040985,5.049251327,6.09,5.950927667,10.27402339,0.316183205,0.357662743,-0.26,0.476474415,1.24054856,6.222127314,4.1,7.515057597,11.38684349,9.458858351,138.2842738,117.3608342,112.5730853,94.29508908
9/1/2000,32.62,3.456495828,16.61798984,22.10149997,28.39233403,49.2448242,77.63715823,0.120139429,4.203849309,4.534180142,4.275365385,5.095966465,8.032632615,100.5081234,102.0023694,88.19039358,55.00108537,7.88013835,38.89272393,43.43927993,28.46937396,31.57839847,67.36209789,77.70283099,32.62,5.621092253,5.046962263,6,5.966828463,10.3168689,0.314479174,0.353805743,-0.2,0.455113185,1.104159687,6.161313706,3.9,7.429372754,11.2259687,9.418002488,143.4500047,118.6819594,113.771491,95.05630923
10/1/2000,30.93,3.450327186,16.70637794,22.07843647,28.09533629,48.83066943,76.92600572,1.606708286,3.640498168,4.012620689,2.617194946,4.662059047,8.07994031,100.7270988,101.6967141,88.38380687,55.12575145,7.893332555,38.8559624,43.40796381,29.10672864,32.2177824,67.96269104,78.35197207,30.93,5.761916423,5.203924615,6.11,6.125992652,10.47694234,0.110584272,0.174034323,-0.37,0.280067993,0.958416004,6.093120666,3.9,7.300017904,10.91305413,9.310964006,145.5033403,119.8209398,114.8948423,96.10548167
